ID,ID_STATE,CITY,COUNTY,LATITUDE,LONGITUDE
2190,5,Inyokern,Kern,36,-118
2191,5,Ione,Amador,38,-121
2192,5,Irvine,Orange,34,-118
2193,5,Isleton,Sacramento,38,-122
2194,5,Ivanhoe,Tulare,36,-119
2195,5,Jackson,Amador,38,-121
2196,5,Jacumba,San Diego,33,-116
2197,5,Jamestown,Tuolumne,38,-120
2198,5,Jamul,San Diego,33,-117
2199,5,Janesville,Lassen,40,-121
2200,5,Jenner,Sonoma,38,-123
2201,5,Johannesburg,Kern,35,-118
2202,5,Jolon,Monterey,36,-121
2203,5,Joshua Tree,San Bernardino,34,-116
2204,5,Julian,San Diego,33,-117
2205,5,Junction City,Trinity,41,-123
2206,5,June Lake,Mono,38,-119
2207,5,Kaweah,Tulare,36,-119
2208,5,Keeler,Inyo,36,-118
2209,5,Keene,Kern,35,-119
2210,5,Kelseyville,Lake,39,-123
2211,5,Kentfield,Marin,38,-123
2212,5,Kenwood,Sonoma,38,-123
2213,5,Kerman,Fresno,37,-120
2214,5,Kernville,Kern,36,-118
2215,5,Kettleman City,Kings,36,-120
2216,5,Keyes,Stanislaus,38,-121
2217,5,King City,Monterey,36,-121
2218,5,Kings Beach,Placer,39,-120
2219,5,Kings Canyon National Pk,Tulare,37,-119
2220,5,Kingsburg,Fresno,37,-120
2221,5,Kirkwood,Alpine,39,-120
2222,5,Kit Carson,Amador,38,-121
2223,5,Klamath,Del Norte,42,-124
2224,5,Klamath River,Siskiyou,42,-123
2225,5,Kneeland,Humboldt,41,-124
2226,5,Knights Landing,Yolo,39,-122
2227,5,Knightsen,Contra Costa,38,-122
2228,5,Korbel,Humboldt,41,-124
2229,5,Kyburz,El Dorado,39,-120
2230,5,La Canada Flintridge,Los Angeles,34,-118
2231,5,La Crescenta,Los Angeles,34,-118
2232,5,La Grange,Stanislaus,38,-120
2233,5,La Habra,Orange,34,-118
2234,5,La Honda,San Mateo,37,-122
2235,5,La Jolla,San Diego,33,-117
2236,5,La Mesa,San Diego,33,-117
2237,5,La Mirada,Los Angeles,34,-118
2238,5,La Palma,Orange,34,-118
2239,5,La Puente,Los Angeles,34,-118
2240,5,La Quinta,Riverside,34,-119
2241,5,La Verne,Los Angeles,34,-118
2242,5,Ladera Ranch,Orange,34,-118
2243,5,Lafayette,Contra Costa,38,-122
2244,5,Laguna Beach,Orange,34,-118
2245,5,Laguna Hills,Orange,34,-118
2246,5,Laguna Niguel,Orange,34,-118
2247,5,Laguna Woods,Orange,34,-118
2248,5,Lagunitas,Marin,38,-123
2249,5,Lake Arrowhead,San Bernardino,34,-117
2250,5,Lake City,Modoc,42,-120
2251,5,Lake Elsinore,Riverside,34,-117
2252,5,Lake Forest,Orange,34,-118
2253,5,Lake Hughes,Los Angeles,35,-118
2254,5,Lake Isabella,Kern,36,-118
2255,5,Lakehead,Shasta,41,-122
2256,5,Lakeport,Lake,39,-123
2257,5,Lakeshore,Fresno,37,-119
2258,5,Lakeside,San Diego,33,-117
2259,5,Lakewood,Los Angeles,34,-118
2260,5,Lamont,Kern,35,-119
2261,5,Lancaster,Los Angeles,35,-118
2262,5,Landers,San Bernardino,34,-117
2263,5,Larkspur,Marin,38,-123
2264,5,Lathrop,San Joaquin,38,-121
2265,5,Laton,Fresno,36,-120
2266,5,Lawndale,Los Angeles,34,-118
2267,5,Laytonville,Mendocino,40,-123
2268,5,Le Grand,Merced,37,-120
2269,5,Lebec,Kern,35,-119
2270,5,Lee Vining,Mono,38,-119
2271,5,Leggett,Mendocino,40,-124
2272,5,Lemon Cove,Tulare,36,-119
2273,5,Lemon Grove,San Diego,33,-117
2274,5,Lemoore,Kings,36,-120
2275,5,Lewiston,Trinity,41,-123
2276,5,Likely,Modoc,41,-121
2277,5,Lincoln,Placer,39,-121
2278,5,Lincoln Acres,San Diego,33,-117
2279,5,Linden,San Joaquin,38,-121
2280,5,Lindsay,Tulare,36,-119
2281,5,Litchfield,Lassen,40,-120
2282,5,Little Lake,Inyo,36,-118
2283,5,Little River,Mendocino,39,-124
2284,5,Littlerock,Los Angeles,35,-118
2285,5,Live Oak,Sutter,39,-122
2286,5,Livermore,Alameda,38,-122
2287,5,Livingston,Merced,37,-121
2288,5,Llano,Los Angeles,34,-118
2289,5,Lockeford,San Joaquin,38,-121
2290,5,Lockwood,Monterey,36,-121
2291,5,Lodi,San Joaquin,38,-121
2292,5,Loleta,Humboldt,41,-124
2293,5,Loma Linda,San Bernardino,34,-117
2294,5,Loma Mar,San Mateo,37,-122
